,Review Title,Review Rating,Review Content
30,Good but not great.,3,"They're a good value for the price with some big downsides. If those dont bother you too much then they're fine.Pros:- Loud and clear until turned up all the way. Lots of bass. I usually keep them on the lowest volume level at work or when running.- Gaming mode works. It reduces latency by a large amount. It's not good enough for competitive gaming though. Casual is fine.Cons:- Battery life is bad compared to other earbuds in 2020. Gaming mode cuts it down to <3 hours. Normal mode gets between 3 and 5.- Connection is weak. It will cut out occasionally if left in my pants pocket.- Case feels flimsy- Equalizer app is mediocre. Bass mode makes them sound muddy. Treble mode makes them sound like they're playing through a pringles can.- Included silicon covers fall off easily after a few weeks. I lost one after a month.- Wrist strap is too small unless you're a 12 year old girl.- Touch controls are bad. They are very finicky to the point I try to avoid touching them except to activate gaming mode.- Default AAC codec.Things to consider:- There is no noise isolation. This isn't a pro or con depending on your needs and expectations.- The fit is almost the exact same as airpods. If those work well for you, these will too.These are decent earbuds if you listen to music or play games for short bursts. Do not expect long session from them. They work surprisingly well for workouts as long as you dont keep the phone in your pocket."
31,Not the AirPods Replacement I Hoped For...,3,"I recently switched from iOS to Android so I had to pick up a set of wireless earbuds that charge via USB C to replace my AirPods.The sound quality is outstanding. Way better than the Gen 1 AirPods. Seriously, they sound crazy good.The battery life kind of sucks, but I don't use them for super long periods of time so I don't really run into issues very often.I had high hopes for these, but they simply do not compare to the fit and finish of the AirPods. They aren't as comfortable or as well built. The case is kind of janky (when compared to AirPods) and the lid can pop open sending your buddy flying if you use the lanyard.I will be trying the upcoming Pixel Buds to see if those are a better fit for me."
32,"Amazing audio quality, poor fit (subjective based on ear shape)",4,"Possibly the best true wireless earbuds at this price point. The sound quality is incredible with rich bass that doesn't overpower clear mids and highs. They would have gotten five stars if not for the design. I really dislike ""Airpod style"" buds that hang from your ears rather than inserting into your ear with either silicone or foam tips. These just don't hang on as well, and it's entirely due to variances in ear shape. Your mileage as far as fit goes will vary. If AirPods don't fit you, these probably won't either. I like using them as a throw in your bag and go pair of buds for being out and about, but I don't recommend them for exercise since they don't stay in well, despite being sweat resistant."
33,65ms NOT GOOD ENOUGH!,3,"To be advertised as a gaming headset...  ...it better perform.  These DO NOT!!!Does it have less lag? Yes.  Is it good enough for PUBG mobile or COD?  NOOOOOOO!!!!!Until Qualcomm brings back Low Latency codec to Aptx, and then supports that in mobile devices, pleas le do not waste your time with wireless headphones.Curse Apple for starting the whole ""cut out the 3.5 jack"" campaign.  But curse Android markets even more for following suit and not listening to their customers.Rant over.lolSeriously, if you play some sort of RPG mobile game, you don't really need low latency anyways.  If you play FPS games, these will not be enough.Also, comfort.  For my ears, these were terrible.  Worst earbuds I've ever used. Sound volume sucked, base was abnormally muddy.These headphones are terrible even if they were $20, but  #&@+_;""+!,  they're FREAKING $100!!!No thanks."
34,"One thing I hate about these buds is that they don't have a ""Find My Buds"" feature.",3,"These buds are great but they need more bass. Besides that they sounded great and there was really no input lag which was really impressive.One thing I hate about these buds is that they don't have a ""Find My Buds"" feature. That is one thing I hate about them because they are so small and could be lost easily.Sadly about a couple months ago I couldn't find them and after weeks of searching I can't find them. So now I'm back to using junky weird buds until I can afford a replacement.Samsung buds have this feature so I might go with those next time."
35,"Everything you expect from a Razer product, and more.",5,"The last earbuds I'll probably ever buy. They don't have the low end power I'd like but they have everything else. And they fit any ear. My left one keeps trying to fall out but that's my ears fault. Seemless pairing, no latency that I've noticed, never drop out, battery life is awesome and the charge case (though I'm convinced it was made backwards) charges quickly and charges the headphones quickly. All in all, everything and more that I expect from a Razer product. Honestly, only bought it through Amazon because I wanted them now. My phone's bought from the Razer website took almost 3 weeks. My earbuds were at my door in 2 days. Amazon, doing a good job. And Razer, keep up the good work."
36,Great quality sound & battery but low volume.,4,"Personally use them for the gym and when taking walks in public. The connectivity is awsome, they pair up as soon as you take them out the case. The sound quality is also really clear and won't be disappointed. The case battery life is also pretty good and percentage on my phone is accurate.Cons: Apart from not having noise cancelling, which I don't mind, I definitely did not like the low volume. It's just loud enough to hear everything but you have something loud going on in your environment like the gym and wish that you could increase it by 2 or 3 levels.Always been happy with most Razer products but I honestly wouldn't recommend these if you want loud music you can emerse yourself into.Hopefully these get a firmware update where they increase the volume and have an actual equalizer in there app because it's really basic."
37,My honest opinion,3,"These are good Earbuds, however there are a few things I think are important before buying. First and most importantly the reason im contemplating sending these back. These are not very comfortable earbuds, they're a lot bigger than most earbuds (at least what im used too from apple) so after about an hour of wearing they start to really hurt your ears. My other biggest issue is the touch on them feels really inconsistent. One tap for pause, double tap for song skip, triple for replay. I could tap them twice for a song skip and theyll pause or i could tap them once for a pause and ill get nothing. The touch feels really bad on these. The sound is amazing, i will say they're some of the loudest and best noise canceling earbuds ive ever used, although the noise cancellation is only noticeable because you're over powering everything around you with the level of sound they can produce, which is good i suppose. The other issue I have is that they dont have a way to adjust volume wirelessly. So in order to do that you'd need to have whatever device they're connected within in arms reach, which to me seems a little counter intuitive. They have pretty decent range, I work in a warehouse with a lot of walls, sometimes i try and leave my phone in a room and walk outside whilst listening to whatever it may be and they'll cut out. The range is okay, but youll need to be in the same room to use them effectively. Ive not yet used them with games, but i think the level of sound they can produce as i mentioned eariler would make them pretty good actually.  The battery, and honestly i haven't purchased a lot of airpods but from what i know vs my friends pairs. These last quite a bit longer, But it could be due to the fact that my are recently purchased. Id trust them for at least 4-5 hours. Overall great earbuds, I didnt shop around much but if i could the only reason id buy a different set is if they had a way to adjust volume on the earbud itself and if the touch responses worked better. If you can find something cheaper with better reviews, id purchase those vs these."
38,LITERALLY BUY THEM NOW,5,"I haven't been much of a Razer fan really, but once I bought their phone, I started to realize that the company's no joke, however when i purchased these earbuds... I thought the company could travel time travel, because WOW these sound brilliant.All jokes aside, if you are looking into buying premium flagship wireless, that deliver everything you need in an affordable price these are PERFECT. They have excellent bass, and with razer's Dolby Atmos App, it works even better. There is a great balance between the high's mid's and low's, the connection is as smooth and as fast as I thought it would be, and the response time without ""gaming mode"" is exactly like airpods, so when ""gaming mode"" is enabled, it's super fast. And I do have to say the click to the case is pretty damn satisfying. Of course these don't have  noise cancelling, but when the volume is even at medium almost all of the excess noise is removed, besides like standing next to a train of course (however if you are in that situation, just turn the volume almost all the way up).CONCLUSION:These are the BEST and most trustworthy $100 wireless earbuds out right now (by reliable brand). So pick these up for luxurious sound quality and elegant everything."
39,I've bought Razer countless times but man did they mess up,1,"These are the worst airpod rip offs I've used hands down. Coming from airpods g1 and the soundcore liberty airs g1, the wireless hammerheads are a travesty of wasted potential. It has THE cheapest plastic on the market used for the case, that's understandable I guess. But they don't stop there, they use the SAME plastic for the actual headphones it's disgusting. The headphones are so quiet I can't hear any music in public. As an avid fan of Razer products this is just disappointed on levels I didn't believe this company can reach"
40,Will stop playing if overwhelmed,2,"I love razer products, I use their mamba wireless mouse, huntsman elite keyboard, and even the orbweaver chroma and I love all these products. That being said, I cannot recommend these earbuds.Pros- gaming mode works incredibly, almost no lag- the touch settings are easy enough to use, but aren't so sensitive I set them off every time I adjust the earbuds.- They pair and connect the second the case is opened.Cons- uncomfortable in my ear. I kind of have smaller ears, so when I smile or laugh while wearing these it really hurts.- the battery life is kind of short on gaming mode, only lasts a few hours and might left earbud always dies before I even get a low battery warning in the right earbud.- the mic on these are absolutely terrible and ultimately is just a waste of hardware space.- wherever the audio is quite I can hear the device itself making noise in the right earbud which is very distracting.- MOST IMPORTANTLY it seems that when there are multiple different loud sounds, they just stop working for a couple seconds? The audio will cut out and I can't hear anything for about 2 seconds. This will happen every few minutes and for earbuds oriented towards gaming, that is terrible. I play Rainbow Six Siege a lot by the way, and this is where I experience this problem consistently.Overall the sound is decent, pretty uncomfortable, gaming mode works and is very nice, but the frequency of the audio cutting out and the electronic grinding like sounds in the right earbud are terrible. Stray away from this razer product."
41,I recommend these!,5,These are not extremely comfortable but I decided I don't care because they sound so good.  I listened to videos I've already watched and heard so many new things!  I haven't tried a lot of buds but I'm willing to bet these are the best for the price.  The only thing difference for the extra $100 dollars on the others is wireless charge case but I don't consider that essential.  They even work separately which is awesome for battery life although the best sound is with both in.  I recommend these. They look cool too.
42,Great Earbuds,5,"I've been using these for a little bit over a month and they have been really good. When I first got them they were amazing, the sound quality was great and the range was crazy. I gave one to my friend while we were in a Walmart so we could both listen to music and she went about 2-3 aisles away from me and she said the song didn't drop out at all. That was using an S8+ and I did notice some dropping when I would leave my phone upstairs when I would just go downstairs for a second but since then I've gotten a OnePlus 7 Pro and I can go anywhere in my house with my phone in my room and it doesn't drop at all, so I guess that is more based on your phone than the headphones. Sound quality is great though and the only thing I could think of to make them better is if they could go in the shower safely."
43,On Point,5,"These are perfect for me. I had apple earbuds prior to these.  I like these better. They can not connect to multiple devices at the same time.  Also note IF YOU ARE A GAMER, Bluetooth (any version) does not work with games and discord (or any other voice comms program) at the same time as a game because of a windows limitation currently. So if you use a side app for communications while playing with friends I would not suggest these as a solution.  Bass is good, sound clarity is good, no noticeable latency.  Battery life is more than enough and I listen to audio books all the time and use them to talk on the phone."
44,Pleasantly surprised,5,"I am admittedly a massive Razer fan. I was in the market for a small pair of earbuds so I didn't have to pack up a pair of over ear headphones when I wanted to go mobile. I had tried some competitive wired earbuds, but couldn't ever seem to find a pair that fit and were comfortable. I didn't expect any ear buds to match a good pair of headphones in performance. Wow, was I pleasantly surprised to find these wireless buds that fit so well and sound so good right out of the box. Noise cancellation would have been a bonus, but at the price, these are a no brainer for people looking for an air pods like experience for Android."
45,"Decent, but nothing to write home about.",3,"These are my first wireless ear buds so I wasn't entirely sure what to expect. I purchased these because of price and some generally ""OK"" reviews. There are some things I will confirm. These earbuds aren't exactly consistent and will lose connection... randomly. Sometimes when at work I can leave my phone in the office and still be connected in the warehouse. Yet, other times it seems putting my phone in my back pocket or even the wind blowing can cause the connection to go wonky or completely disconnect, again, sometimes. The sound is ok as I assume there are way better sounding earbuds out there, especially considering the lack of sound cancellation. As far as fit goes, they stay-put really nicely. However,  at first they really hurt my ears when I used them for extended periods, but I suspected it was because of them being new and my ears not being used to them. I was right, and after a couple days I was completely forgetting I had them in and they felt natural. I honestly don't know if I'd recommend them to anyone. I guess I'm pleased with my experience, just not enough to make a determination, which may say it all."
46,Get your money's worth!,5,"Althought people have gone pretty hard about the battery life and the sound quality I personally have enjoyed this earbuds since my day of purchase. I drive for a living and have never had a problem with them running out of battery. They don't hurt and the price couldn've been better. I there was some companion app to download but so far i haven't found one so i can mess around with the EQ. The noise cancelation is good, but not the best. Overall I would highly recommend this product and if you have any questions feel free to ask."
47,Not worth $100,3,"I mainly bought these buds for listening to while at work. I have had these since late November and now it's March 2020. I do like the touch controls and the fit. These rarely fall out of my ears. The volume can be very loud or very quiet depending on the phone you pair it with. They are quite loud on my Samsung S9+ but the volume range is very strange. From volume level 4 to level 5, the volume drastically increases and I find it very annoying even painful at times. When paired to my Samsung s8, the volume sounds very quiet even if the volume bar is maxed. These buds had no volume level issues with my sister's Oneplus 6. As far as they sound, it's alright. Nothing that amazes me. Razer advertises reduced audio latency on these buds and they don't deliver on their promise. I always notice audio lag while playing COD mobile on gaming mode. Also, the top half of the charging case feels chinsy. I really wanted to love these earphones. I think everyone should wait for a ""2.0"" version of these buds."
48,Great Great Great,5,i got these because i didnt want airpods and i wanted something by razer to match my phone. Overall they are amazing sound is clear and bass is amazing the battery isnt as bad as people say i was doing HW for 5 hours and they never died on me. Make sure to download the app it helps with the audio. If you get them and set them up out of the box 1 of them might be dead i thought i got a bad pair but the right one was just dead.
49,Great overall,5,"Never liked the look or stigma associated with AirPods, so when Razer released these at a good price (not common for them), I figured they would be worth a shot. And boy are these worth it. Great for gym time, movies, gaming, whatever. I don’t mobile game at all, but the low latency “gaming mode” makes videos much less frustrating to watch with an audio delay. High quality engineering, and very good, user friendly software, WITH silicon grips on the buds if you want them"
50,Terrible Bluetooth,2,"Let me start by saying, I really like these headphones they fit my ears perfect, and the sound quality is pretty decent. However, the Bluetooth connectivity is TERRIBlE!I'm using these with the RazerPhone2 and any time I put my phone in my pocket the audio instantly becomes choppy or just completely stops working. RAZER please fix your product!"
51,I'm disappointed,3,"I was so looking forward to these. I bought them and got them out of the package and tested them only to find out the volume on it was weird (my bluetooth volume was maxed and the headphones were outputting 50% of volume). So I let them charge for 1 whole hour, disconnected them, restarted my phone and did it again. Same issue persisted. Next, I let them charge all night, did the same thing and not only did they not work properly, they did not fully charge my earbuds. On top of the sound, they did not fully charge my earbuds and I placed them as perfect as I can. I'm disappointed and hope in future, they can fix these issues. Presentation looks good though."
52,Would buy again.,4,I have small/odd shaped ears so the silicone covers they sent were a must and much appreciated. I wore them at work for an 8 hour shift each ear on their own last about four hours before they need to be put back into the case to charge so if you plan to use them on a work out great or for casual listening awesome. But for long duration you can use one ear at a time to make it stretch without needing to charge from the carrying case. Noise canceling is pretty good I could hear anyone trying to talk to me(that or I’m deaf it’s up for debate at this point). One thing I wish it had was the ability to work with the iPhone listen option meaning you can hear what ur actual phone is hear but all and all would recommend.
53,Good headphones that could be improved for next generation.,4,"Had these for about 2 weeks and came from using AirPods, they work better than the Airpods did with my Galaxy Note 9. The case to headphones could be better, the top of it is kinda flimsy. The battery life is decent just 1 hour less than the AirPods. The bluetooth could be better, when outside in the open the connection can be shoddy if phone is in the pocket. Overall for price point pretty good headphones."
54,These are epic!,5,"i ordered the anker soundcore liberty air 2 before these and had to return them. i imaged those would be much better sounding as they are in ears. they did most definitely not. these blew me away sound wise. the ankers would fall out of my ear and hurt my ear. these are super comfortable and fit very nice.the case is a bit wobbly though, the lid that is. thats the only part they could improve in my opion. for everything else they are absolutely great. if you have an android phone i would definitely recommend these even for iphone user i guess. i think these sound better then airpods.only thing i would like to see is ability to change the volume with the touch controls. but maybe they will add that in later with an update just like the EQ presets you can now chose from."
55,Good enough for daily commute.,4,"The sound quality is quite ok compares to other wireless earphone. Definitely not as good as the airpod pro but acceptable for around $100. Good bass, trebe a little weird but I get used to it by time. Good, stable connection with phone but not so stable with laptop.Overall I am happy with this purchase, suite my needs for daily basis."
56,Sound cuts in and out right out of the box!,3,"I really liked them however the only conplaint ill give other than there being no noise cancellation is the fact that i got 2 pairs, the initial bought pair and then a second pair that i had to exchange because the first pair was cutting in and out all the time right out of the box and i didnt understand why so i thought the second pair would be better but no they did the exact same thing so i mean idk about anyone else but thats just not alright especially from razer"
57,Bad Bluetooth reception quality.,2,"My honest 2 month usage review:Have been using these hammerhead headphones for 2 months now. Usually connected to my Razer Phone during work hours.Pros:Good battery life - Considering that the case provides some juice when encased.Decent Sound QualityLow to Decent bassCons - Worst Bluetooth reception i have ever seen on any wireless headphones. Move your phone to your pockets, and the signal drops. It struggles to hold a stable connection at arm's length. And considering the fact that i am using Razer Phone 2, i would expect a seemless experience. Nope, nowhere close to it.Verdict: You can probably find a better pair for the price you would be paying for these."
58,Razer steals money. Not love for being a good product,3,"Type C. Different size ear tips; problem is with the connection. It's easy to disconnect and distort from my experience compared to airpods. For the price point, it wasn't worth it. Also have prior experience w razer not being customer friendly when something doesn't work as expected. Don't do it."
59,Airpods for android. Excellent.,5,"I have tried multiple true wireless headphones and if you want something like airpods for android, look no further. These sound great, have decent bass and are comfortable in the ear. The sound syncs with the video very well even without the gaming mode but it's nice to have. Couple iffy things... The plastic feels cheap for a $100 item but they are so light that I don't even mind it. I can't even feel them in my ear. The touch controls are not the best but maybe that can be fixed in a firmware update. Also 2 stars for the noise cancellation, but let's be honest, these are an airpods type design so you will not be buying them for the noise cancellation. Overall I'm satisfied and impressed. Thanks, Razer!"
60,"For $100, you cant go wrong.",4,"Purchased these on a whim when I saw they were $100. Carrying case is very portable. They are NOT noice cancelling so if that is a deal breaker, these are not for you. There is also no volume control on the buds. I knew those cons going in so I was not surprised. Takes a few listens to break them in because fresh out the box the treble was sharp.Now the bass is really pronounced. When listening on iOS devices, there are no latency issues but when using other devices a notice it a lot. However, it can be corrected using the ""gaming mode"" feature these come with that reduce latency."
61,"Great sound, Quality product",5,"Great earbuds. They work really well, and rhe gaming mode is useful when connections are not rhe best. They obviously arent as good as headphones, but they surpass any ear buds supplied with a phone. The battery lasts long enough to have a comfortable amount of music or vidieos, and they seem unnoticable after wearing them for a while."
62,HONEST CUSTOMER REVIEW,3,"These headphones are great in terms of sound quality, comparable if not better than Apple AirPods. My only issue with these earbuds are that they do not fit the average ear, there is no way this is supposed to comfortably fit someones ear for more than an hour without causing sores or ear pain. I have had them for one day, and I couldn't stand wearing them for more than an hour and a half while studying. Periodically, while listening to music or watching a video, the sound would have a little cut with a robotic audio being played from both earbuds. I tried troubleshooting them, but no fix. I am returning these earbuds, simply because they're too large and because of the periodic audio cut."
63,Great Earbuds,4,"Update: 04/17/2020The Bluetooth connection sometimes fails and I have to put them in the case again and reconnect them. It happens about 20% of the time.I am really enjoying these earbuds. I use them almost everyday. When I'm running, doing dishes, or at work. These are my favorite earbuds and I'll probably buy another pair I can leave at my desk at work because I hate the days I leave them at home on accident."
64,My new favorite Bluetooth earbuds,5,"Really good headphones, I like the airpod design but black look. Touch controls work well. Sound quality is great, low latency mode is a game changer. Microphone is very good quality. Only real complaints are with the case. Headphones are installed on the opposite sides so left goes in the right and right goes in the left. And no wireless charging."
65,Kinda cheap plastic,3,"The sound is good, the buds have a good fit for the most part, and battery life is good enough that I don't need to think about it. However, the case has a very cheap, light feeling to it. Its only been a few weeks since I've used this and my case is already showing tiny cracks. The lid pops and clicks and sounds like its breaking every time I open it. The earbuds themselves have a similar light, cheap plastic feeling to them."
66,"Sound okay, but there is stutter",2,"The buds sound okay to me, but being used to Sony over-ears make these sound a bit odd at first. With the right ear shape it would not hurt much, but without the rubber tips the plastic could get uncomfortable. There is basically no noise isolation, but not transparent enough for casual conversation. And these are loud.The battery life is not great, but with a small case and a universal type-c charging cable it is quite impressive.The problem is that when you cup over your ears, the buds would stutter. I do no know if it's because mine is a faulty unit, the firmware got it wrong or whatever, but I would cut my music just by closing my hands around the buds."
67,Absolute Garbage,1,"Absolute garbage. Was super excited to get these. The ""button"" you press to operate these things is fidgety at best. The blue tooth connection is weak and spotty as hell. I would get 1 to connect and play sound. Have to troubleshoot the 2nd ear bud and then the other would drop sound. In addition, the sound would cut in and out. Forget moving my head, any movement cause blue tooth connection issues. I love Razer. But wtf is this garbage. DO NOT BUY!!!"
68,Not perfect but still very good headphones,4,"I’m very happy with these, I used to have Apple AirPods but they got stolen and the new ones are too expensive for my taste, these were right in my price range especially for Black Friday, I am beyond happy with the sound quality, the only complaint I have is that the tap features don’t work through my hoodie when I’m at work and they also constantly feel like they are falling out, they never have yet but they just feel as if they are, all in all 4 stars, would recommend if you like the original AirPods"
69,Meh,2,"I could understand why one would buy earbuds like this, because it does not go all the way into the ear. With that being said, there's no noise cancellation when listening to anything. The sound quality is mediocre at best and the sound does not really pack a punch. I would like if these were waterproof but there is little to no lag when playing videos, especially on gaming mode. For the price, I expect more than what was given."
70,Definetly with it,4,Just got started I'm very impressed with the product always am a fan of razer.ProsSound is quite wellGame-mode alternativeCase has a magnet for the cover and the earbuds. Plus comes with a lanyard.USB is nylon and has dust coversConsOnly one silicone earbud no extras with wing tipsCant control volume with earbuds only volume control with your phone or ext.Other then that very nice product.
71,They're ok could definitely be improved,3,I want to like these but I can't. I'll break this down in pros and cons.Pros: Sound Quality is very good. Size is perfect. Design is great.Cons: They aren't the most comfortable to wear. I can only last about an hour in my ears before I have to take them out because of the discomfort. Battery life is middle of the road. The gaming latency is a gimmick.
72,PERFECT BUDS WILL BUY UPGRADE WHEN AVAILABLE!!!!,5,I got these wireless earbuds today. I was debating on getting them for about a week watching YouTube reviews and stuff like that. Everyone was trash talking them saying they're made of cheap material. It's plastic what do you expect lmao. Anyways it's pretty premium plastic. Very good quality audio. Great touch abilities. Great battery life. Great charging case. 10/10 I will most definitely buy the version 2 if Razer decides to make it. I'm in love already. They don't fall out during rigorous activities neither so that's a plus.
73,They are on,4,Some times you have to disconnect and reconnect because the signal starts fading don't know if it's the phone or the earbudsBoth brand new razer phone 2 and hammerhead bought at the same time
74,Terrible bluetooth,2,At first i was so excited to get these thinking I could replace the airpods with these but they are so inconsistent! They cut off all the time for no reason ill put my phone in my pocket while listening to music and they cut in and out over and over again. They feel nice and sound good but thats only when they actually connect.
75,Good sound when they have a connection,4,"Easy to use and good sound when the connection doesn't fade out. It seems to happen when I'm outdoors and the Bluetooth signal can't bounce around to the earbuds. Even with my phone in my front pocket and in my hand while hiking/running, the signal fades out then returns when my hand is in front of me. Other than that they are great earbuds if yours going to be indoors and stationary when outdoors."
76,Really good Razer Earbuds!,5,"Best earbuds I've ever used, people complain about the battery life, but I personally never use them for more than 1-1/2 hour at a time so its great, the sound quality is really good, but not to the level of my Status Audio CB-1 that I got for $40 cheaper, but the convenience, comfort, & SUPER ease of use makes this an excellent set of earbuds for me"
77,No latency! I can actually hear base!,5,"Better sound quality than air pods dispite the battery life being 3 hours on ear buds, 16 with case.I would buy again in a heart beat!Virtually no latency! Incredible!"
78,"Short life, short Bluetooth range",2,"The right ear bud just plain doesn't work while my phone is in my pocket anymore. I've had the earbuds for about a month now and about a week ago they worked great! No issues whatsoever. Now, all of a sudden, the right ear bud has a super low Bluetooth range. I've tried plugging everything in to make sure it wasn't the battery being low, but now that they're fully charged, it's the same issue. I can't walk around with my phone in my pocket and listen to music through both earbuds anymore. Pretty disappointing."
79,Mediocre Earbuds... Should Be $60 or less...,3,"They were decent, nothing too spectacular.Looked cheap for the $100 asking price.Sound quality was okay.They hurt my ears after about 15 minutes of use. I returned them to get airpods for $120."
80,Same razer quality,5,"Update 1/1/2020 Firmware update + companion app with EQ presets are amazing. No joke with treble boost feels like i am cheating i can hear like i have comtacs on.I bought the original wired hammer heads and still have them, but decided to go wireless. Best choice by far the only problem i have is the battery life. From my experience so far after a hour work out and low latency use for about two to three hours of gaming has me in the yellow which is only half charge so it's not bad at all."
81,Brand New Garbage,1,"Haven't even owned the earbuds for 2 months and they are already breaking. I started receiving static over VOIP or phone call unless the case is left open and in the vicinity. If I walk away from the case, the signal resets and goes back to static. Earbuds cannot be used over calls any longer since others aren't able to hear me at all most times. Signal resets on it's own seemingly. Pairing/re-pairing is a nightmare and the low latency mode seems to do nothing. DO NOT BUY."
82,Disappointed!! 😕,3,"Razer you made me disappointed. Mediocre sound, I expected more from you. But unfortunately it was not so. I'm not one of the people who make bad comments, but $ 99 must have been worth it."
83,Good but could be better.,4,"I couldn't wait to get my hands on this one, and now I finally do. The first week I'm using this one for listening to music and gaming, it was fine. The sound quality is good tho it doesn't have noise cancellation. Battery life is awesome. But the one thing I'd say on this one is that it hurts my ears. Am I putting it on wrong? Does anyone have the same experience as well?"
84,Decent battery life and sound quality but mired by poor connection issues,2,"The connection on these earbuds are quite bad. Even if I have my phone in my hand in front of my face, a simple slight turn of my head will result in these earbuds disconnecting and stuttering. Also, these earbuds are very temperamental even with putting my phone in my front pocket. Battery life is decent for their size, but I can't recommend since they stutter with the most generous of scenarios and in common usage."
85,A sound system!,5,"Working great, and he doesn’t answer me when I ask him questions so the noise canceling must be working! Ha! And he hasn’t lost them yet, yay!"
86,Razer true wireless earbuds,3,Pros:  The sound quality is great the best bass I've heard in wireless earbuds. The battery life is on par with other wireless ear buds. I like how compact the case is and all the multi touch options it has compared to other earbuds.Cons:  The rubber ear tips that come with the buds don't stay on very well. After long periods of listening to the buds it would hurt my ears with or with out the rubber tips.
87,Sound quality is great when you play games solely.,2,A decent product. It would be better if the sound enhancements worked overall and not just for games. It would be a sweet pair of headphones if there were sound adjustment options like treble and bass but it's ok. A decent pair but a overall miss.
88,"I'm glad I got them on sale, because they don't hold up",2,"I bought this in conjunction with my razer phone. It has a realistic Bluetooth range of like 10 feet, and doesn't work at all if your phone is in your pocket. If you're running, or there's even a slight breeze, they drop connection. They sounded great for a few days, but then the volume dropped so much that if someone has a conversation in the same room I can't hear my music. The function keys either don't work, or they perform the wrong function."
89,Great for the price!,5,"Let me preface by saying that these sounds absolutely incredible! They sound better then the standard headphones that apple products come with, that is for sure! A lot of people on here are complaining about the build quality of the case but i honestly don't think its that bad, im also looking into buying a silicone case just for an extra layer of protection :). Hands down worth the money!"
90,"Not worth the price, Galaxy Buds are better.",1,"They have good battery life, and sound quality. BUT it still isn't worth the price tag. The case quality is very cheap, they don't fit well in the ears, and the touch sensor on the side isn't very responsive."
91,Base is INCREDIBLE,5,"The base shakes my ears and the clarity is crisp. If you want these for music this is the right choic. I’ve had skull candy, Samsung, AirPods, and AirPod pros. Nothing compares to these bad boys. I think the battery trade off is worth it for the power.The bad. Not comfortable to fall asleep with in.Circling back to the good, these bad boys have more bass than my ass at a 3am trip to White Castle !!!!"
92,"Does what I need, but not what I want.",4,I use these every day but will probably get the Pixel Buds 2 once they are out for the better assistant integration.
93,poor sound,1,"it wasn't the sound i was seeking. too low, not enough bass."
94,i adore these,5,"theyre slick and smooth and look so stealthy and nice.battery life isnt super high but its reasonable and ive never found myself with a dead pair when i want to use them and they always last me.there is no noise cancellation which isnt a problem for me personally, but may not be what youre looking for."
95,Very Uncomfortable to wear,1,"The hard plastic earpieces are very uncomfortable to wear. If you want ear buds you can wear more than an hour a day, look elsewhere.  Functionally, they worked and sounded fine."
96,it does not worth the trouble,1,"I shouldn't bought this phone, after a few weeks right side stopped working.  It is just a poor apple airpod copy."
97,Great but one problem,4,"The sound quality is great and touch controls actually work but my only problem is the connection. It does auto pair, but it keeps on disconnecting. It doesn’t bother me but from time to time it can be frustrating. But overall a great product. Everything works, including the gaming mode. Just wanted to tell the customers that keep in mind of this connection problem while they’re shopping for wireless earbuds"
98,"AWESOME, mostly...",4,Got these to use while I'm out because I cant really have my giant razer threshers with me. Compared to the threshers the audio isnt as good but they are pretty crisp compared to other bluetooth earbuds out there. The only problem I have with them is that the case for the earbuds has a super flimsy lid and feels almost cheap but other then that it is top tier. Definitely would use these over airpods any day.
99,Awesome crisp sound,5,These are great buds. They sound crisp and clean. Loved them so much I bought 12 for friends and family.
100,Best apple alternative,5,If you love the Appke airpod shape but cant afford apple prices or want something in black then you should consider getting these. They feel amazing in my ears and have a rubber tip if you want to run without them falling out. They sound great and have an awesome battery life
101,Good for gaming. A good price.,4,"very good sound quality the touch sensors work well and the game mode works very well, the diley is very small compared to others that can not even be played.The carrying case is of a very good size fits in the pocket are no problem, although the lid feels unfit if it is not for a magnet that holds it well it would have been alone."
102,They don’t live up to the hype! Poor battery life!,1,"Bought these with high hopes but they didn’t get passed a week before returning them. $100 and they last 2-3 hours on a full charge. Doesn’t matter if it’s low latency mode or not, 3 hours MAX. For being a gaming designed pair of wireless earbuds they don’t match up to the competition. Save yourself the hassle and get a pair with better sound quality and a longer battery life."
103,Value,5,The sound quality is great. Lots of bass. They connect as soon as the case is opened. There is no delay in sound in videos. Would recommend if anyone is looking for earphones to game with on the go.
104,Won't Play Simultaneously or Connect to their app,1,Terrible product! Won't play simultaneously and won't connect to the app designed for them.
105,It works but overpriced.,3,"For the price you're paying, it isn't much better than your $50 earbuds.Pros-Small-looks-usb c-gaming mode-sound is decent-mic qualityCons-connectivity issues-material feels a bit cheap-pricey-no noise cancelation(tho in believe it wasn't the intent to begin with)"
106,Iffy,3,"I’d give them a better review if they didn’t want to randomly disconnect. But I find these pretty good not gonna lie.The sound quality is good and the silicone for the ear piece is a nice addition, but like I said above my only downside is when they want to disconnect randomly."
107,Awesome for the price,5,Love the fit of these and the battery can be charged so quickly and the times with the case normally get four to five times before I have to recharge the case and pods. They pick up all the sounds around you which can be bothersome at times.
108,Good stuff,5,Pretty dope headphones. Battery life could be better but so could my life.
109,Nothing special,3,There’s better out there in this price range or cheaper. Absolutely nothing special about these. Battery life sucks. Sound is good unless you’re listening to something with bass. The wrist strap won’t fit on anyone over the age 5yrs old.
